strategy,seed,reward,steps,actions,idle_ratio,expired,clear_asm,serve_gap,none_ratio,stockpile_in,stockpile_out,stockpile_max
preempt_score,27,5735.4,502,133,0.588,0,8,6.34,0.735,10,8,3
preempt_score,28,4453.299999999999,625,92,0.657,0,0,6.09,0.853,5,3,3
preempt_score,29,4382.0,565,112,0.703,1,1,6.07,0.802,10,8,3
preempt_score,30,3648.4,574,110,0.547,0,4,6.63,0.808,9,8,3
preempt_score,31,3545.2,538,121,0.738,2,3,6.16,0.775,11,10,3
preempt_score,32,3444.8,524,126,0.704,1,2,4.96,0.76,9,8,3
preempt_score,33,6003.2,559,114,0.699,0,2,6.08,0.796,8,7,3
preempt_score,34,4832.0,574,109,0.616,0,2,6.03,0.81,7,7,3
preempt_score,35,4032.4000000000005,566,112,0.614,0,2,5.7,0.802,9,8,3
preempt_score,36,3224.5999999999995,543,120,0.589,2,4,5.98,0.779,9,8,3
preempt_score,37,5246.0,512,130,0.593,0,7,6.36,0.746,9,9,3
preempt_score,38,4190.0,589,104,0.476,0,2,6.05,0.823,5,5,1
preempt_score,39,3890.5,550,117,0.675,0,3,5.51,0.787,9,8,3
preempt_score,40,5609.4,587,105,0.573,0,3,6.8,0.821,5,4,2
preempt_score,41,3761.3999999999996,568,111,0.564,1,4,6.45,0.805,7,6,3
preempt_score,42,3512.6000000000004,541,120,0.711,0,2,5.81,0.778,12,11,3
preempt_score,43,3714.5,590,104,0.726,0,0,5.23,0.824,8,6,3
preempt_score,44,4131.8,579,108,0.687,1,4,7.14,0.813,10,7,3
preempt_score,45,3917.8,562,113,0.599,1,3,6.42,0.799,6,6,3
preempt_score,46,4374.6,503,133,0.734,1,4,4.98,0.736,10,10,3
preempt_score,47,4918.6,565,112,0.696,0,3,6.22,0.802,7,7,3
preempt_score,48,3826.6000000000004,587,105,0.57,0,1,6.16,0.821,8,7,3
preempt_score,49,3670.3999999999996,512,130,0.712,0,4,5.31,0.746,7,7,3
