strategy,seed,reward,steps,actions,idle_ratio,expired,clear_asm,serve_gap,none_ratio,stockpile_in,stockpile_out,stockpile_max
delay_aware_v3,46,4658.4,442,154,0.677,4,4,4.89,0.652,16,15,3
delay_aware_v3,47,3331.2,516,129,0.641,3,8,7.15,0.75,13,11,3
delay_aware_v3,48,3916.7999999999997,544,119,0.526,2,3,5.48,0.781,11,10,3
delay_aware_v3,49,4641.9,451,150,0.64,5,9,6.44,0.667,19,17,3
delay_aware_v1,0,4420.400000000001,576,109,0.668,0,1,5.69,0.811,7,6,3
delay_aware_v1,1,2919.8,578,108,0.7,0,1,5.63,0.813,5,5,3
delay_aware_v1,2,3977.0,550,117,0.68,0,0,5.27,0.787,6,6,3
delay_aware_v1,3,3136.3,631,90,0.551,0,0,5.74,0.857,4,3,2
delay_aware_v1,4,5033.0,538,121,0.654,0,3,5.16,0.775,9,9,3
delay_aware_v1,5,5172.700000000001,574,109,0.641,0,0,6.02,0.81,4,4,3
delay_aware_v1,6,5462.3,589,104,0.738,1,0,6.02,0.823,3,3,3
delay_aware_v1,7,5599.1,511,131,0.684,1,0,5.04,0.744,10,8,3
delay_aware_v1,8,3425.7,595,102,0.628,0,2,5.46,0.829,6,5,3
delay_aware_v1,9,5508.1,580,107,0.659,0,2,6.83,0.816,9,7,3
delay_aware_v1,10,5733.6,631,90,0.652,0,0,7.1,0.857,5,5,3
delay_aware_v1,11,6150.6,616,96,0.443,0,0,6.49,0.844,2,2,2
delay_aware_v1,12,5667.4,553,117,0.638,1,2,6.14,0.788,5,5,3
delay_aware_v1,13,3565.9,574,109,0.596,0,1,5.99,0.81,6,3,3
delay_aware_v1,14,3578.8,643,87,0.557,0,0,6.92,0.865,6,5,2
delay_aware_v1,15,4377.0,568,111,0.714,0,0,5.57,0.805,7,5,3
delay_aware_v1,16,4211.4,606,99,0.568,0,1,6.54,0.837,5,5,2
delay_aware_v1,17,4634.8,610,97,0.632,0,0,7.11,0.841,3,3,3
delay_aware_v1,18,3973.0000000000005,559,115,0.692,0,3,6.12,0.794,7,7,3
delay_aware_v1,19,4193.8,541,120,0.742,2,0,5.35,0.778,8,8,3
delay_aware_v1,20,4687.5,613,96,0.725,0,0,5.9,0.843,8,6,3
delay_aware_v1,21,3710.0,592,103,0.658,0,0,6.16,0.826,5,5,3
delay_aware_v1,22,5445.3,601,100,0.653,0,0,5.06,0.834,6,6,2
delay_aware_v1,23,4856.4,583,106,0.597,0,0,5.58,0.818,7,7,3
delay_aware_v1,24,5233.4,586,105,0.716,0,1,6.56,0.821,5,3,3
